"TRANSACTION_DT","CUSTOMER_ID","AGE_GROUP","PIN_CODE","PRODUCT_SUBCLASS","PRODUCT_ID","AMOUNT","ASSET","SALES_PRICE"
"11/1/2000","01674101","25-29","115","100311","4710022102892","1","34","40"
"11/1/2000","00663373","45-49","115","500303","4710364142068","1","34","54"
"11/1/2000","00663373","45-49","115","520227","20411909","2","70","110"
"11/1/2000","01173741","40-44","Others","110136","4710088410207","1","44","55"
"11/1/2000","01104905","45-49","115","120103","4711524000457","1","17","21"
"11/1/2000","01034561","40-44","115","110121","4710134023276","2","68","86"
"11/1/2000","01849332","45-49","Others","120103","4710011409056","1","23","28"
"11/1/2000","00760225","30-34","115","110106","4711271000014","1","14","16"
"11/1/2000","00219389","30-34","115","100205","4710098162806","1","39","47"
"11/1/2000","01674101","25-29","115","130204","4710088432674","1","57","62"
"11/1/2000","00236645","35-39","Unknown","110102","4714617943044","1","20","26"
"11/1/2000","01607000","35-39","221","510113","20549404","1","44","79"
"11/1/2000","01733204","40-44","115","520473","4711713390031","1","40","49"
"11/1/2000","00539166","40-44","115","120102","4710357308303","2","46","58"
"11/1/2000","00760225","30-34","115","130401","4710057870148","1","90","110"
"11/1/2000","00236645","35-39","Unknown","110201","4712500125010","1","85","105"
"11/1/2000","01674101","25-29","115","100505","4710018031632","1","62","66"
"11/1/2000","01634518","30-34","115","110411","4710109770402","1","24","33"
"11/1/2000","01981995","50-54","115","100312","4710543310066","1","14","18"
"11/1/2000","01670981","40-44","115","120106","4710011402019","6","132","168"
"11/1/2000","01717723","40-44","115","100323","4710362020740","1","28","35"
"11/1/2000","01848618","","Unknown","501002","2250062000090","1","27","38"
"11/1/2000","02144702","25-29","115","130206","4711080040195","1","47","60"
"11/1/2000","01634518","30-34","115","712901","4902704244567","2","148","196"
"11/1/2000","00539166","40-44","115","130301","4710998000406","1","50","63"
"11/1/2000","01104905","45-49","115","100429","4901201906015","1","32","40"
"11/1/2000","00308359","60-64","115","120105","4719090106016","1","30","28"
"11/1/2000","01785111","<25","115","130401","4710585930666","1","70","89"
"11/1/2000","02147239","25-29","Others","120101","4710088490247","1","121","153"
"11/1/2000","02079127","<25","115","100205","8801019931536","1","47","55"
"11/1/2000","00760225","30-34","115","110401","4710008290025","1","46","57"
"11/1/2000","00760225","30-34","115","110401","4710088410139","1","43","39"
"11/1/2000","02084916","<25","Unknown","100205","4710467221196","1","50","65"
"11/1/2000","00075954","60-64","115","110401","0074603003171","1","76","97"
"11/1/2000","00426541","35-39","114","530406","4710094021497","1","49","59"
"11/1/2000","01327205","40-44","221","110507","4710172030083","1","22","28"
"11/1/2000","01848564","","Unknown","320501","20565909","1","260","325"
"11/1/2000","01034561","40-44","115","530206","4713080000100","1","70","85"
"11/1/2000","01741797","35-39","115","130315","4714981010038","1","28","24"
"11/1/2000","00418683","45-49","115","120103","4710011401128","1","23","29"
"11/1/2000","01173741","40-44","Others","120108","4710088443250","1","71","85"
"11/1/2000","01090673","","115","530209","4710731050101","1","80","90"
"11/1/2000","01849332","45-49","Others","100205","4710047512515","1","68","81"
"11/1/2000","01900309","35-39","115","120104","4716702000052","2","268","338"
"11/1/2000","01660043","40-44","115","120105","4710321791698","1","72","86"
"11/1/2000","01021172","60-64","115","120105","4719090105002","1","28","28"
"11/1/2000","00426541","35-39","114","530404","4710038850527","1","202","249"
"11/1/2000","00427203","60-64","115","120101","4710011411417","1","73","90"
"11/1/2000","01104905","45-49","115","100201","0084501297329","2","26","38"
"11/1/2000","00309448","40-44","115","130315","4714981010038","1","28","24"
"11/1/2000","01849332","45-49","Others","120103","4710011406123","2","46","55"
"11/1/2000","00426541","35-39","114","530107","7038513912056","1","42","60"
"11/1/2000","00045957","50-54","115","110217","4710265849066","1","180","133"
